id,mass,"date","status","rank","teats","f_genitalia"
1,41.10,"2015-05-13","queen",NULL,NULL,NULL
1,42.50,"2015-11-30",NULL,NULL,NULL,NULL
1,40.60,"2016-01-16",NULL,"3",NULL,NULL
1,39.50,"2016-04-26",NULL,NULL,NULL,NULL
1,38.70,"2017-01-24",NULL,NULL,NULL,NULL
2,50.40,"2015-05-13","",NULL,NULL,NULL
2,54.10,"2015-11-30","queen",NULL,NULL,NULL
2,66.10,"2016-01-16","queen","1",NULL,NULL
2,52.20,"2016-04-26","queen",NULL,NULL,NULL
2,57.20,"2017-01-24","queen",NULL,NULL,NULL
3,44.90,"2015-05-13",NULL,NULL,NULL,NULL
3,46.70,"2015-11-30",NULL,NULL,NULL,NULL
3,46.10,"2016-01-16",NULL,"5",NULL,NULL
3,44.30,"2016-04-26",NULL,NULL,NULL,NULL
3,40.00,"2017-01-24",NULL,NULL,NULL,NULL
4,54.30,"2015-05-13","b male",NULL,NULL,NULL
4,56.40,"2015-11-30","",NULL,NULL,NULL
4,56.70,"2016-01-16","","6",NULL,NULL
4,56.10,"2016-04-26","",NULL,NULL,NULL
4,53.00,"2017-01-24",NULL,NULL,NULL,NULL
5,47.20,"2015-05-13",NULL,NULL,NULL,NULL
5,50.00,"2015-11-30",NULL,NULL,NULL,NULL
5,48.90,"2016-01-16",NULL,"2",NULL,NULL
5,49.80,"2016-04-26",NULL,NULL,NULL,NULL
5,46.60,"2017-01-24",NULL,NULL,NULL,NULL
6,39.00,"2015-05-13",NULL,NULL,NULL,NULL
6,39.00,"2015-11-30",NULL,NULL,NULL,NULL
6,39.70,"2016-01-16",NULL,"4",NULL,NULL
6,41.00,"2016-04-26",NULL,NULL,NULL,NULL
6,39.20,"2017-01-24",NULL,NULL,NULL,NULL
7,29.20,"2015-05-13",NULL,NULL,NULL,NULL
7,29.80,"2015-11-30",NULL,NULL,NULL,NULL
7,28.90,"2016-01-16",NULL,"11",NULL,NULL
7,30.00,"2016-04-26",NULL,NULL,NULL,NULL
7,28.30,"2017-01-24",NULL,NULL,NULL,NULL
8,44.40,"2015-05-13",NULL,NULL,NULL,NULL
8,44.50,"2015-11-30",NULL,NULL,NULL,NULL
8,42.80,"2016-01-16",NULL,"10",NULL,NULL
8,41.60,"2016-04-26",NULL,NULL,NULL,NULL
8,39.80,"2017-01-24",NULL,NULL,NULL,NULL
9,36.20,"2015-05-13",NULL,NULL,NULL,NULL
9,38.00,"2015-11-30",NULL,NULL,NULL,NULL
9,37.20,"2016-01-16",NULL,"9",NULL,NULL
9,36.80,"2016-04-26",NULL,NULL,NULL,NULL
9,33.90,"2017-01-24",NULL,NULL,NULL,NULL
10,38.10,"2015-05-13",NULL,NULL,NULL,NULL
10,35.70,"2015-11-30",NULL,NULL,NULL,NULL
10,35.90,"2016-01-16",NULL,"8",NULL,NULL
10,35.20,"2016-04-26",NULL,NULL,NULL,NULL
10,31.60,"2017-01-24",NULL,NULL,NULL,NULL
11,32.90,"2015-05-13",NULL,NULL,NULL,NULL
11,34.40,"2015-11-30",NULL,NULL,NULL,NULL
11,35.70,"2016-01-16",NULL,"12",NULL,NULL
11,36.80,"2016-04-26",NULL,NULL,NULL,NULL
11,35.00,"2017-01-24",NULL,NULL,NULL,NULL
12,30.10,"2015-05-13",NULL,NULL,NULL,NULL
12,31.50,"2015-11-30",NULL,NULL,NULL,NULL
12,32.10,"2016-01-16",NULL,"15",NULL,NULL
12,33.00,"2016-04-26",NULL,NULL,NULL,NULL
12,29.50,"2017-01-24",NULL,NULL,NULL,NULL
13,27.10,"2015-05-13",NULL,NULL,NULL,NULL
13,26.60,"2015-11-30",NULL,NULL,NULL,NULL
13,25.80,"2016-01-16",NULL,"14",NULL,NULL
13,26.20,"2016-04-26",NULL,NULL,NULL,NULL
13,24.30,"2017-01-24",NULL,NULL,NULL,NULL
14,27.30,"2015-05-13",NULL,NULL,NULL,NULL
14,26.80,"2015-11-30",NULL,NULL,NULL,NULL
14,28.20,"2016-01-16",NULL,"17",NULL,NULL
14,27.60,"2016-04-26",NULL,NULL,NULL,NULL
14,25.30,"2017-01-24",NULL,NULL,NULL,NULL
15,44.30,"2015-05-13",NULL,NULL,NULL,NULL
15,48.70,"2015-11-30",NULL,NULL,NULL,NULL
15,49.60,"2016-01-16",NULL,"7",NULL,NULL
15,48.60,"2016-04-26",NULL,NULL,NULL,NULL
15,51.90,"2017-01-24",NULL,NULL,NULL,NULL
16,34.50,"2015-05-13",NULL,NULL,NULL,NULL
16,34.20,"2015-11-30",NULL,NULL,NULL,NULL
16,34.40,"2016-01-16",NULL,"21",NULL,NULL
16,34.40,"2016-04-26",NULL,NULL,NULL,NULL
16,33.10,"2017-01-24",NULL,NULL,NULL,NULL
17,30.30,"2015-05-13",NULL,NULL,NULL,NULL
17,32.70,"2015-11-30",NULL,NULL,NULL,NULL
17,32.80,"2016-01-16",NULL,"18",NULL,NULL
17,33.20,"2016-04-26",NULL,NULL,NULL,NULL
17,29.70,"2017-01-24",NULL,NULL,NULL,NULL
18,38.80,"2015-05-13",NULL,NULL,NULL,NULL
18,40.30,"2015-11-30",NULL,NULL,NULL,NULL
18,39.10,"2016-01-16",NULL,"16",NULL,NULL
18,39.00,"2016-04-26",NULL,NULL,NULL,NULL
18,36.60,"2017-01-24",NULL,NULL,NULL,NULL
19,13.90,"2015-05-13",NULL,NULL,NULL,NULL
19,21.10,"2015-11-30",NULL,NULL,NULL,NULL
19,22.20,"2016-01-16",NULL,"13",NULL,NULL
19,22.80,"2016-04-26",NULL,NULL,NULL,NULL
19,20.50,"2017-01-24",NULL,NULL,NULL,NULL
20,13.50,"2015-05-13",NULL,NULL,NULL,NULL
20,21.00,"2015-11-30",NULL,NULL,NULL,NULL
20,22.10,"2016-01-16",NULL,"19",NULL,NULL
20,23.00,"2016-04-26",NULL,NULL,NULL,NULL
20,21.60,"2017-01-24",NULL,NULL,NULL,NULL
21,13.00,"2015-05-13",NULL,NULL,NULL,NULL
21,19.20,"2015-11-30",NULL,NULL,NULL,NULL
21,20.40,"2016-01-16",NULL,"20",NULL,NULL
21,20.90,"2016-04-26",NULL,NULL,NULL,NULL
21,15.90,"2017-01-24",NULL,NULL,NULL,NULL
22,10.30,"2016-04-26",NULL,NULL,NULL,NULL
22,17.40,"2017-01-24",NULL,NULL,NULL,NULL
23,10.50,"2016-04-26",NULL,NULL,NULL,NULL
23,19.40,"2017-01-24",NULL,NULL,NULL,NULL
24,12.00,"2016-04-26",NULL,NULL,NULL,NULL
24,21.60,"2017-01-24",NULL,NULL,NULL,NULL
25,16.00,"2017-01-24",NULL,NULL,NULL,NULL
26,13.80,"2017-01-24",NULL,NULL,NULL,NULL
27,17.20,"2017-01-24",NULL,NULL,NULL,NULL
28,12.90,"2017-01-24",NULL,NULL,NULL,NULL
